"anio","mes","division","indice"
2016,9,9,86.8479340105399
2016,9,10,98.1261126206315
2016,9,11,78.1318172803596
2016,9,12,92.9417948224964
2016,9,13,86.7333468194301
2016,10,1,58.7547667415089
2016,10,2,84.9018853405155
2016,10,3,93.6637285880592
2016,10,4,83.2008029028024
2016,10,5,86.1807137433561
2016,10,6,84.5613007177383
2016,10,7,74.4081986143187
2016,10,8,91.1043220415131
2016,10,9,87.3061941495455
2016,10,10,98.1261126206315
2016,10,11,78.1913135453163
2016,10,12,94.3185121279905
2016,10,13,86.9293231529339
2016,11,1,59.3748886275348
2016,11,2,84.809542131589
2016,11,3,93.7136204889406
2016,11,4,83.2162433413109
2016,11,5,86.2186788154897
2016,11,6,84.6858063571114
2016,11,7,73.8813510392609
2016,11,8,91.0953365082217
2016,11,9,87.8255556404185
2016,11,10,98.1823292420125
2016,11,11,78.2111456336352
2016,11,12,94.2849836516814
2016,11,13,87.0328224763702
2016,12,1,59.1040307922591
2016,12,2,84.8711042708734
2016,12,3,93.9131880924663
2016,12,4,83.2085231220566
2016,12,5,86.2870159453302
2016,12,6,84.8103119964845
2016,12,7,74.6896651270207
2016,12,8,91.4188157067121
2016,12,9,88.4365691590926
2016,12,10,98.1823292420125
2016,12,11,78.2375884180604
2016,12,12,94.4846803442424
2016,12,13,87.1440503594224
2017,1,1,59.5210093018282
2017,1,2,85.078876490958
2017,1,3,94.0711791119241
2017,1,4,84.0500270207673
2017,1,5,86.3249810174639
2017,1,6,84.9128460524388
2017,1,7,75.4907621247113
2017,1,8,91.4278012400035
2017,1,9,88.390743145192
2017,1,10,98.6789093975451
2017,1,11,78.3698023401864
2017,1,12,94.5535019535084
2017,1,13,87.22814742075
2017,2,1,59.9522434869382
2017,2,2,85.0557906887264
2017,2,3,94.1377016464327
2017,2,4,84.4360379834787
2017,2,5,86.4844343204252
2017,2,6,85.0300278306723
2017,2,7,75.2959006928406
2017,2,8,91.4098301734208
2017,2,9,88.5205835179103
2017,2,10,98.7163871451325
2017,2,11,78.4359093012494
2017,2,12,94.5199734771993
2017,2,13,87.3453688225063
2017,3,1,60.3371467265405
2017,3,2,85.1250480954213
2017,3,3,94.2208548145684
2017,3,4,84.2893538176484
2017,3,5,86.5603644646924
2017,3,6,85.3303061373956
2017,3,7,75.0866050808314
2017,3,8,91.4457723065863
2017,3,9,88.4060184831589
2017,3,10,98.6976482713388
2017,3,11,78.4755734778872
2017,3,12,95.8021884396691
2017,3,13,87.5322101639317
2017,4,1,60.6115684807013
2017,4,2,85.5867641400538
2017,4,3,94.3289539331448
2017,4,4,84.3356751331737
2017,4,5,86.5527714502657
2017,4,6,85.520726527025
2017,4,7,75.3464203233256
2017,4,8,91.4547578398778
2017,4,9,88.6733368975788
2017,4,10,98.7257565820294
2017,4,11,78.5482911350565
2017,4,12,95.7333668304031
2017,4,13,87.6537032588785
2017,5,1,61.1390284757119
2017,5,2,85.8945748364755
2017,5,3,94.3788458340262
2017,5,4,83.8801821971744
2017,5,5,86.7274107820804
2017,5,6,85.6745276109565
2017,5,7,75.3464203233256
2017,5,8,91.5266421062089
2017,5,9,88.6656992285954
2017,5,10,98.7632343296167
2017,5,11,78.5747339194817
2017,5,12,95.7333668304031
2017,5,13,87.7788872194501
2017,6,1,62.4541145443529
2017,6,2,86.3639861485186
2017,6,3,94.3954764676534
2017,6,4,83.8879024164286
2017,6,5,86.8185269552012
2017,6,6,85.8795957228651
2017,6,7,75.5701501154734
2017,6,8,91.5446131727917
2017,6,9,88.4518444970594
2017,6,10,98.7726037665136
2017,6,11,78.6011767039069
2017,6,12,95.6521816584416
2017,6,13,87.879667853919
2017,7,1,65.0272639794718
2017,7,2,86.3332050788764
2017,7,3,94.4287377349076
2017,7,4,83.9187832934455
2017,7,5,86.8185269552012
2017,7,6,86.0846638347736
2017,7,7,75.0072170900692
2017,7,8,91.5266421062089
2017,7,9,88.0546857099213
2017,7,10,98.6976482713388
2017,7,11,78.5086269584187
